normalperson wj225|See: Batshua
lccwin32 megaton| a free compiler for windows. http://www.cs.virginia.edu/~lcc-win32/
linux-sites Xgc|Linux Sites - www.linux.org, sunsite.unc.edu/pub/Linux/, www.linuxnow.com, www.linuxhq.com, www.xnet.com/~blatura/linapps.shtml, www.kernel.org/pub/linux/
guess SNIBRIL|Programming by guessing does not work, so you better -->RTFM.
supercalifragilisticexpialidocious glamdring|Umm.. I think you spelled that wrong.
progsins MaineCoon|7 Deadly Sins of Programming: Lisp (Pride), Win32 API (Greed), Java (Sloth), Assembly (Lust), COBOL (Gluttony), Visual Basic (Envy), Perl (Wrath)
urlcalc wem|please put a description if you make a calc just for a url. thank you :)
progvirtues MaineCoon|7 Heavenly Virtues of Programming: RTFM (Humility), GPL (Charity), PASCAL (Love), #C (Kindness), ANSI/ISO Compliance (Chastity), C (Faith/Temperance), C++ (Diligence)
joke14 MaineCoon|SEX... 2. The rather Freudian mnemonic often used for Sign EXtend, a machine instruction found in the PDP-11 and many other architectures... Amusingly, the Intel 8048 (the microcontroller used in IBM PC keyboards) is also missing straight SEX but has logical-or and logical-and instructions ORL and ANL.
wipeout cam2| A sheepware Unix IDE, complete with debugger, class browser, project managment http://www.softwarebuero.de/
wazm Wazm|blah
leaving OGL|OGL is leaving now...please do not address him directly or bring up any subject that interests him, or ask any questions which he knows the answer to.  Your continuing cooperation will ensure OGL gets to spend some of his life off of IRC.
y2k Tybstar|<kuru> y2k is going to cause so much shit.. i'm starting to get scared. But, I'm glad that in my country the use of computers is limited to a bank or two, and a several rich families.. bahaha... we're like in the caves and shit .. fucking morons.
domain Gambit-|/msg NFO tld <top level domain your curious about>
algorithms2 Setz|http://wannabe.guru.org/alg
weather Gambit-|If you wanna know the weather, type in 'nfo weather <city>, <state>'
vegan_food blahh|http://www.spunk.org/library/food/sp001610.txt
teckla Teckla|don't even think about it
chorgain chorgain|ha
pool Wazm|It appears someone is from the shallower end of the gene-pool.
feature voidptr|"A feature is nothing more than a bug with seniority" -- Unknown Source
erlang Luke|Erlangliness is next to Emacsliness.
beej megaton|simple sockets: http://www.ecst.csuchico.edu/~beej/guide/
just_do_it Dmi|practice makes perfect; but you have to practice (ok, a cold beer or two won't hurt :)
Mesa-tut glamdring|MesaGL Tutorial - http://www.eecs.tulane.edu/www/Terry/OpenGL/
regex Gambit-|_Mastering Regular Expressions_, Jefry Friedl, O'Reilly. ISBN: 1-56592-257-3 or For more Info: http://www-inf.enst.fr/~demaille/a2ps/doc-beta/regex_toc.html.
gravity flub|learn C is 24 hours * 9.8 m/s^2
signals megaton|a signal tutorial by the great beej:  http://www.ecst.csuchico.edu/~beej/guide/ipc/signals.html
traffic flub|I have two lights on the way to work- the kitchen light and the bathroom light
thinkc++ SNIBRIL|Thinking in C++, Second Edition, Online beta version - http://www.EckelObjects.com/ThinkingInCPP2e.html
echo Myrdraal|Echo... cho... ho... o... .  .   .   .
techsupport megaton|<angel_X> leave me alone, i do tech support :/ maybe i should find a nice relaxing job..like handfeeding rabid pitbulls.
3dengines wem|3D engines list (lists 500+ 3d engines for various platforms useing differnt techneques, apis, hardware, and languages.) http://cg.cs.tu-berlin.de/~ki/engines.html
gtkglarea glamdring| GtkGLArea home page http://www.student.oulu.fi/~jlof/gtkglarea/
girlie-pics Wazm|http://www.agnesscott.edu/lriddle/women/alpha.htm
clear Setz|Clear Screen:  int i; for(i = 0; i < 13; i++) printf("\n\n"); /* Two \n's for optimization */
turing Dmi|"One night while sleeping, Grand Master Turing dreamt he was a machine. When he woke up, he exclaimed 'I don't know whether i'm Turing dreaming that I am a machine, or a machine dreaming that i am Turing!' Hence automata were born." - From The Tao of Programming
game OGL|IRC is a game...you get a point when you make someone cry
ps-tut glamdring|PostScript tutorial - http://grouchy.cs.indiana.edu/docproject/programming/postscript/postscript.html
science Gambit-|Did you know that scientists are the leading cause of cancer amoung lab rats?
pebkc Gambit-|PEBKC - Problem Exists Between Keyboard and Chair
Acme Gambit-|Acme Industries:  We add rockets to everything.
linuxdoc alyshia|http://metalab.unc.edu./LDP/ <== linux documentation project
ncurses Gambit-|http://web.cs.mun.ca/~rod/ncurses/ncurses.html, http://www.magitech.org/ncurses.txt, or http://www.magitech.org/ncurses.txt.gz
epoch blahh|epoch: fixed point or duration of time from which succeeding years are reckoned, as being specially marked by notable events; era; date; period; age.
krazi Gambit-|FYI, I found much of the information on that site grossly misleading, poorly structured, faultily -- or not at all -- supported, and worse propaganda then CNN.
flowcharts blahh|Real programmers don't draw flowcharts.  Flowcharts are, after all, the illiterate's form of documentation.  Cavemen drew flowcharts; look how much good it did them.
nomoney cam2|= You see, I spent all this money on a wiz back PIV 1000Mhz and have nothing left
helpme Gambit-|Try asking a question. You wouldn't be here if you didn't need help.
pcu Perly|Politically Correct UNIX: http://www.patsjokes.com/computer/unixpc.html
trick glamdring|TRICK QUESTION!  *bing bing bing bing bing*
OS_development Troi|For the basics of OS development, more /usr/src/linux/*
main Gambit-|int main() { return 0; }  or int main(int argc, char *argv[]) { return 0; } or int main(int argc, char *argv[], char *env[]) { return 0; } or int main() { return main(); }
morepain Gambit-|"Rock climbing, Crow."  "Sand storm, Joel."
10x Gambit-|10x? 10x as lame, stupid.
fate blahh|You will visit the Dung Pits of Glive soon.
asmbook Gambit-|Art of Assembly Language - http://webster.cs.ucr.edu/Page_asm/ArtofAssembly/ArtofAsm.html
dcc Teckla|I deeply appreciate the love that goes into that DCC request, but I regretfully must announce that I am unable to accept it at this time.
cobol2 Setz|COBOL = Compiles Only Because Of Luck
bzero Teckla|#define bzero(a,b) memset(a,0,b)
tao Gambit-|The Tao is like a stack: the data changes but not the structure.  the more you use it, the deeper it becomes; the more you talk of it, the less you understand.  Hold on to the root.  -- www.edepot.com/taohumor.html
radiohead undone|Why visit www.radiohead.co.uk when you can take walk in the park?
rhetorical glamdring|Don't you wish you could smack people who ask rhetorical questions?
faqs Xgc|http://www.faqs.org/  (The mother of all faq references!)
inal Gambit-|I am not a lawyer.
sunos blahh|that buggy os that no one likes to admit they use.
symfind Gambit-|find /usr/include -exec grep <sym> {} /dev/null \; OR find /usr/lib -name \*.a -exec nm {} | grep <sym> {} \; -print
first SNIBRIL|C or C++ first? "No, learn C++ first. The C subset of C++ is easier to learn for C/C++ novices and easier to use than C itself." - Stroustrup, D&E, p 169
why! Gambit-|Why Not.
boards Gambit-|The best keyboard in existence: http://www.kinesis-ergo.com/contspec.html
taocp regex|"The Art of Computer Programming" by Donald E. Knuth.  The Bible(s) from the CS Prophet himself.
analogcomputer Aegis| Blinding speed, perfection in numeric resolution, and massive parallel processing power.  All guaranteed to fit snugly into a 100-acre dirgible hangar.
fud Gambit-|Fear, Uncertainty, and Doubt.  Microsoft's middle name.  This.
MTBF Gambit-|Mean Time Between Failure -- Industry term used to describe an approximate time that a program/algorythm/block of code will run before it fails in some manner.
syntax Gambit-|<oGMo> thou shalt put SPACE between thy OPERATORS and their OPERANDS
elizabethan Wazm|The Elizabethan curse generator: http://www.tower.org/insult/insult.html
HHGG Triffid|Hitch-Hiker's Guide to The Galaxy
unp Gambit-|UNIX Network Programming. Networking APIs: Sockets and XTI. A must read for anyone programming TCP/UDP sockets. by W. Richard Stevens, ISBN: 0-13-490012-X
gambit_rules Gambit-|Welcome to IRC. To make your stay more enjoyable, please grok the following sentence: "THIS IS NOT REAL, NOTHING HAPPENS HERE THAT MATTERS." Thank you, move along.
wrong Gambit-|<Myrdraal> Glamdring: Bill Gates nude in bondage gear!
sprintf OGL|If you want to pass an argument to system() or any other function that takes a single string, format the string using sprintf.  Ex: char cmd[80]; sprintf(cmd, "ping %s", myvar); system(cmd);
kwep Gambit-|KWEP: Kill With Extreem Prejudice.
easter Gambit-|Come visit Gambit- for his annual Bunny Roast and Beer Hunt!
angband Gambit-|Behold, multiplayer angband: http://www.umr.edu/~keldon/mangband/
carma megaton|HONK! HONK! ... YIP! My carma just ran over your dogma.
ELF_hash chorgain|static unsigned long ELF_hash(char * name) {unsigned long h = 0, g;while ( *name ) {h = ( h << 4 ) + *name++;if ( (g = h & 0xF0000000) )h ^= g >> 24;h &= ~g;} return h;}
frog Gambit-|A boy was crossing a road one day when a frog called out to him and said, "If you kiss me, I ll turn into a beautiful princess". He bent over, picked up the frog and put it in his pocket. The frog spoke up again and said, "If you kiss me and turn me back into a beautiful princess, I will stay with you for one week." <frog2>
frog2 Gambit-|The boy took the frog out of his pocket, smiled at it and returned it to the pocket. The frog then cried out, "If you kiss me and turn me back into a beautiful princess, I will stay with you for one week and do ANYTHING you want." <frog3>
frog3 Gambit-|Again the boy took the frog out, smiled at it and put it back into his pocket. Finally the frog asked, "What is the matter?  I ve told you I m a beautiful princess, that I ll stay with you for a week and do ANYTHING you want. Why won t you kiss me?" <frog4>
frog4 Gambit-|The boy said, "Look, I m a software engineer, I don t have time for a girlfriend, but a talking frog is cool."
uber Gambit-| ber!
reentrant Gambit-|Reentrant means that multiple threads can use the function within the same process space without conflicts or programmer instituted safeguards.  Thread-safe is another term for this.
empeg Setz|EMPEG: MP3 player for your car!  http://www.empeg.com
bob Gambit-|Your local friendly terrorist.
sobe Setz| SOBE The best drinks on Earth!  http://www.sobebev.com
jaggy Gambit-|<Jaggy> hheellpp,,    ii''mm  ssttuucckk  iinn  ffuull--dduupplleexx!!
biteme Gambit-|I bite my thumb at thee!
pi-ban alyshia|you will be banned for posting any representation of pi longer than is found in `calc pi-simp'
posix.0 MaineCoon|Posix.0 - Introduction to the standards
posix.1 MaineCoon|Posix.1 - Defines the interface between portable applications and the operating system.  The API is defined in terms of a superset of ISO/IEC 9899:1990 (ANSI) standard C.
posix.2 MaineCoon|Posix.2 - Specifies a shell command language based on the Unix SysV shell with elements of the C and Korn shells.
posix.3 MaineCoon|Posix.3 - Provides detailed testing and verification requirements for the Posix family.
posix.4 MaineCoon|Posix.4 - Real-time extensions for real-world problems.
posix.5 MaineCoon|Posix.5 - The Ada language bindings for Posix.1 services.
posix.6 MaineCoon|Posix.6 - Security enhancements to the basic system.
posix.7 MaineCoon|Posix.7 - Provides standard system administration facilities.
posix.8 MaineCoon|Posix.8 - Four subgroups specifying standard network interfaces.
posix.9 MaineCoon|Posix.9 - The FORTRAN language bindings for Posix.1 services.
posix.10 MaineCoon|Posix.10 - Supercomputing Application Environment Profile (AEP) specifying the requirements that supercomputer users (i.e. vector and/or parallel architecture machines) of the other Posix standard, typically Posix.4 and Posix.8.
posix.11 MaineCoon|Posix.11 - Transaction processing AEP specification.
sqrt(-1) Triffid|i
entendre wawb|A woman walks into a bar and says, "Give me a double entendre." So the bartender gives it to her.
vampire Gambit-|Phase shift as art -- http://www.salonmagazine.com/tech/follies/1999/05/01/chapter_14/index.html
simple-sockets Tybstar|http://www.ecst.csuchico.edu/~beej/guide/
comics Gambit-|http://www.userfriendly.org and http://www.sluggy.com/ Read them.  Love them.  Live them.
nethack glamdring|NetHack, one of the best text-mode RPG's extant.  http://www.win.tue.nl/games/roguelike/nethack/
caps blahh|DOOD KAPZ LOKK ROOLZ
dicksmack callas|= A dicksmack is someone who constantly says "this language (C) is better than all others because I say so! Feel free to antagonize them at will, I give you permission.
oper_abuse callas|= something callas does when you disagree with me. Why do you think ppl are so afraid of me?!?!?!?!?!?
leak MaineCoon|Kral: ^Toad: When I leak, I find that after I have leaked, I don't need to leak for a while.
linux-riot Wazm|http://w3.one.net/~sunlion/linuxriot.html
cflow Xgc|cflow - C Flow Analysis - sunsite.unc.edu - /pub/Linux/devel/lang/c/cflow-2.0.tar.gz
useless Triffid|"Thank you for taking the time to share your thoughts with us", http://cnn.com/feedback/
standard Aegis|http://www.cssinfo.com has info on many standards.  ASTM, ISO, ASME, and IEEE to name a few.
wrt Gambit-|wrt: With Respect To
DFD SNIBRIL|Data Flow Diagrams
ttyl blahh|Talk To You Later
who_is_sexy_answer Perly|Hah! made you look!
source megaton|you can get the source to ME, yes me, at http://www.rm-f.net/~algorith
metagon megaton|megaton's evil twin brother.
recalc blahh|If you tried doing what it says in (calc calc) and for what ever the reason its arnt working, try the following: change your nickname, blahh -> blahh_ for example, then follow the instructions givin in (calc calc). you can change your nick back afterwards. just remember the nick you used so that if later you need to IDENT (calc IDENT).
cormen blahh|Introduction to Algorithms (MIT Electrical Engineering and Computer Science Series) by Thomas H. Cormen. MIT Press; ISBN: 0262031418. the book for anyone interested in advanced algorithms.
gpm gfoot|gpm is evil, bad and wrong -- use screen
wazm-wins Wazm|http://acm.stetson.edu/acm/contest99/winners.html [See #1]
lists Aegis|http://q.sirti.org/clark/cs326/NewLinkedList/sld001.htm
deutsch Wazm|ACHTUNG! Alles Lookenspeepers! Das computermachine ist nicht fuer gefingerpoken und mittengrabben. Ist easy schnappen der springenwerk, blowenfusen und poppencorken mit spitzensparken. Ist nicht fuer gewerken bei das dumpkopfen. Das ruubernecken sichtseeren keep das cotton-pickenen hans in das pockets muss; relaxen und watchen das blinkenlichten.
need_isp Perly|http://www.ccurrents.com/resources/ispsearch/expsearch.phtml
order Setz|Order of precedence (Greatest to lowest) () [] -> . ! ~ ++ -- - (type) * & sizeof * / % + - << >> < <= > >= == != & ^ | && || ?: = += -= *= /= etc. ,
prime Wazm|Prime numbers:int prime(int n); int main(int argc,char *argv[]){int c; if(argc!=2)return 0; printf("1\n2\n"); for (c=3;c<atoi(argv[1]);c+=2) if (prime(c)==1)printf("%d\n",c); return1; } int prime(int n){int c; for(c=3;c<n;c+=2) if((n%c)==0) return 0; retrun 1; }
manual SNIBRIL|For UNIX, it's the man pages, type "man man" on the command line; for Windows, you have .HLP files which can be activated by pressing the F1 key.
bilingual blahh|EYE KAN SPEEK IN MANNY DIVVRUNT LUNGAGAGES , MUCHAHASAQ
orion Teckla|Orion Web Server - http://orion.evermind.net
smileys zhivago|http://www.zourek.com/index.html
files Gambit-|<CyrixBoy> you can open them in a hat, you can open them with a bat, you can see them with some glue, you can see them yes you do!
swcp blahh|Great newbie C Tutorial: http://www.swcp.com/~dodrill/cdoc/clist.htm, make sure you download the source code (bottom of table of contents) and you do the assigments they give you. You will come out of this tutorial with the knowledge to write even some advanced programs.
risc Wazm|"RISC was "invented" at Roswell in the late 40's." -comp.arch
esad megaton|this space for rent. :P
Integrator Wazm|http://www.integrals.com/
evolution Wazm|"But racism and genocide, the elmination of the inferior, is the mechanism of evolution! I'm doing it for the kids!" -Response to a Genetic Algorithm Report
vague Gambit-|You had better be a bit more vague, otherwise we might be able to help you.
trimnewline blahh|To trim those pesky newlines from strings consider the following function: char *trim_newline(char *s) { while (*s++) if ((*s == '\n') || (*s == '\r')) break; *s = '\0'; return(s); }
err Perly|OK, THAT'S IT! 30 day NO computer use penalty for BEING STUPID!
lovelace voidptr|lovelace - abbr. Ll. Standard unit of suckiness. The amount of force ( measured in dynes ) it takes to draw a round ball weighing e Troy Ounces down a tube it fits exactly ( in air ) at a speed of pi attoparsecs/microfortnight
nutshell glamdring|"No, this is me in a nutshell: 'Help! I'm in a nutshell!'" -- Austin Powers
online_c_book Teckla|go to pbs.mcp.com, sign up, then read their online books
bestfriendsgirlfriend Triffix|<Glamdring> Best friends' girlfriends are totally made for macking on.
bestfriend glamdring|"What I like most about you is your girlfriend." --Consensus
joke15 undone|Q: What's big, red, and eats rocks?  A: A big, red rock-eater.
wisdom undone|There are some things in your life that you can not fix or change.  All that you can influence is how you percieve and deal with them.
tricks Gambit-|When Gambit- says, "Hows tricks?" hes really asking how you are doing, and you should respond as such.
MAX_LINE_LENGTH Xgc|#define MAX_LINE_LENGTH 42
mit-press Wazm|http://mitpress.mit.edu
joke13 Wazm|Moebius always does it on the same side.
joke20 Wazm|(Logicians do it) or [not (logicians do it)].
joke22 Wazm|To test criminal catching abilities of the CIA, a rabbit was let loose into the forest, and the CIA was told to catch is. The CIA goes in, place animal informants throughout the forest. They bribe forest leaders to stage a violent coup d'etat, which brings anti-rabbit leaders to power. Midnight death squads kill thousands of innocent rabbits, including the one the CIA was to capture. A rabbit-lead revolution then brings an anti
joke23 Wazm|"What's the contour integral of Western Europe? Zero - The Poles are in Eastern Europe." -Csihar
joke24 Wazm|What do mathematicians do when they become constipated? They work it out with a pencil.
somecodingstuff Perly|http://www.cm.cf.ac.uk/Dave/
dinkie Perly|<blueberry> Perly, play with your dinkie, then you will be tired. :)
trueman Gambit-|Totally devoid of any intelligence -- do not take seriously.
references kcin|References are like those plastic scissors you had to use in school, so you wouldn't cut yourself. They're safety pointers.
dice Setz|Find a technical job quickly! http://www.dice.com
corba-tut OGL|http://sand.loper.org/~mmlop/tutorials/corba/, the only non-gibberish CORBA tutorial
MaineCoon MaineCoon|A Maine Coon is the largest domestic breed of cat, found in North America, particularly in the northeast US (originally in theMaine area).  These cats have long, thick, dual-layered coats of fluffy fur, a fluffy tail that looks like a Racoon tail (hence the Coon part of the name), and ear puffs.  They average 20-30 lbs (compared to 8 to 12 lbs for the average domestic cat).  Previously classified as a Working Cat.
mark asterix|own personal mkcalc like program. get it at www.night-flyer.com as mark.c
longcalc Aegis|Long calcs suck.
coolmath Perly|For some funky math thingies check out http://www.univie.ac.at/future.media/moe/einzelthemen.html
glide cout|Glide for Linux is available at http://pelit.saunalahti.fi/telenation/linuxgames/3dfx/
army Setz| Need a sex change?  Join the Canadian Army!  They pay for the operation!
afirc Gambit-|Away from irc. Duh.
lsm glamdring|Linux Software Map - http://www.boutell.com/lsm/
PerlyTopic venus|C/C++ Programmink & Diskussion - We confusink you or money bak.
vimug SNIBRIL|The vi reference mug - http://www.vireference.com/vimug.htm
common-sense Wazm|Common sense is the mind-numbing opiate of the masses.
commands kcin|C does not have commands. What you're probably talking about are functions.
basic kcin|Supposedly a good beginner's language. It's not, it's a waste of time. Learn C.
gambit-mobile Gambit-|http://www.mazdausa.com/garage.asp?vehicle=Miata
Glamdring venus|Glamdring is a sweetie. =)
particles Wazm|Leptons: electron neutrino, electron, muon neutrino, muon, tau neutrino, tau; Mesons: Pion, kaon, eta, d, f; Baryons: proton, neutron, lambda, sigma, xi, omega.
freshmeat kcin|www.freshmeat.net -- L33t 0-day warez for all you warez d00dz.
meaningoflife Perly|"The meaning of life is like self-modyfing code, at one time it might point to school, at another to sex, but when it points to NULL, you're dead." -- Perly
mpython undone|NOBODY EXPECTS THE SPANISH INQUISITION!
closed eee_|#C is Closed for Asbestos Inspection
helloworld Triffid|Sample source: #include <stdio.h>  [new line] int main() { printf("This is a Hello, World program!\n"); return 0; }
half-duplex platypus|HHeellpp!!    II''mm  ssttuucckk  iinn  hhaallff--dduupplleexx!!
iskander Perly|most likely to destroy the world
spank Triffid|And after the spanking - oral sex!
boycotter OrngeTide|Someone who pirates Win98 because they think Linux is a monopoly.
kinky Myrdraal|<Pragma> select() do pow() pow() pow() sqrt()
bush venus|Just what exactly is bush referring to when he sings about his "machine"?
sex_education venus|<OrngeTide> and what does wood do?
dxsdk Teckla|http://www.triax.com/ben/directx/index.html -- you can download the DX SDKs from here
dec-to-bin Gambit-|unsigned long int bitval[]={ 1,2,4,8,16,32,64,128,56,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608, 16777216,33554432,67108864,134217728,268435456,536870912,1073741824,2147483648UL}; void printbin(int bits, unsigned long int number) { int newcount; for (newcount=bits-1;newcount>=0;newcount--) putc((number&bitval[newcount])==bitval[newcount]?'1':'0',stdout); }
huh Myrdraal|<noss> beyondi: you have zero, one, two then what comes next ? <beyondi> 3 ? <noss> why the hell did you put a questionmark after that?
manager Tybstar|Seagull Manager: A manager who flies in, makes a lot of noise, craps on everything, and then leaves.
Gun_Control kcin|You're all idiots. If you take guns away from law abiding citizens, then only criminals will have guns. Leave me alone.
white-hat Gambit-|Whos winning?  http://www.usnews.com/usnews/issue/990614/14hack.htm
semperfi MaineCoon|Semper Fi, DO or DIE, KILL, KILL, KILL!!!!
cygwin kcin|see gnuwin32
linux Gambit-|For information about the most publicized OS of lates', check out either http://www.linux.org or http://www.linux.com
dating Gambit-|Don't think about the competition -- that only distracts you from the goal.
bugtraq Setz|BugTraq: http://www.geek-girl.com/bugtraq/index.html
Silence kcin|After asking a question, if nobody answers, do not start asking if anyone knows the answer. If someone knows the answer and wants to help, they will.
a_reminder undone|undone should not make calcs at 5am.
eckel_books kcin|Bruce Eckel has two free books you can download at his site. One on C++ and the other on Java. www.bruceeckel.com
joyc kcin|Lawrence H. Miller and Alexander E. Quilici. _The Joy of C_. Introduces C programming by following the development process of several complete and useful programs.
ports Xgc|For detailed ports' assigned numbers information in it's most recent published form in RFC 1700, see ftp://ftp.isi.edu/in-notes/rfc1700.txt
joke27 undone|(blueberry) like, MacOS on BSD is like Seinfeld on Crack: Definitely not funny, but not quite to be taken seriously either.
Trillian Triffid|Trillian is not Triffid. Rather, she is his sister. Too old for you, just don't ask.
almond platypus|almond (n): 1. Penis. From the rhyming slang, almond rock cock.  2. An imperial measure of semen; approximately one stomach full.
paradox Para-dox|http://www.cris.com/~paradox2/
para-dox Para-dox|http://www.cris.com/~paradox2/
USD wem|Universialy Standard Dollars
try kcin|Yoda says: "Do or do not, there is no try."
sleep Perly|Sleep is over-rated (as poorboy pointed out). Sleep also wastes time, makes you go pee-pee when you have nightmares, and you sweat. Nuff said.
forgiveness Wazm|When I was young I used to pray for a bike. Then I realized that God doesn't work that way, so I stole a bike and prayed for forgiveness. (Dan Gadino)
things.to.remember PW|<Sauvin> What you're forgetting is something you might not even have known
Foot_mouth_in venus|<Teckla> DrgdHmstr: Whatever doesn't kill you makes you stronger.  :) <DrgdHmstr> Teckla: What about alzheimer's? <Teckla> DrgdHmstr: Well...you got me there.
tired wem|when you start reading things and they turn umop apisdn
nerd_checklist venus|Ok! Please give numerical answers in months: 1. Underwear last changed within ( ) months. 2. Shower taken within last ( ) months. "Tidy bowl" inserted and toilet flushed within ( ) months. 4. "Mystery plate" food item is ( ) mnths old
women undone|Never trust anything that bleeds for a week and doesn't die.
meow MaineCoon|Meeeeoooooooowwww....
tolkien Gambit-|Tolkien's Rule of Provisioning:  The amount of provisions a party needs is inversely proportional to the size of the party.  Thus, a large orc army travels through a barren wasteland in comfort, while a pair of halflings traveling through the same wasteland are consistently on the brink of starvation.
usuck SNIBRIL|u r like fade_
stdstring SNIBRIL|In C++, "string" means "std::string", but there are good chances you might have thought of a "char*" when you uttered "string".
Perly2 venus|Purrrrrrrrrrrrlie!
fruit eee_|http://www.geocities.com/MotorCity/Speedway/1388/fruit/
kcin2 venus|You may remember me from such movies as "Debbie does Dallas", "Barbecueing for Dummies", and the McDonald's employee training series. But today, I'm here to talk to you about C programming...
sendcode OrngeTide|Nobody wants to see your nasty bit of code.
RTFF kcin|RTFF stands for: Read The Fucking Faq.
snibril SNIBRIL|SNIBRIL's Homepage: http://www.encrypted.net/~jh/
howtogetops undone|To get ops you must act like an op so that everyone assumes that you are.  Then just announce that something is wrong with the bot and you can't op yourself and someone will "fix" it for you.
getops2 Perly|<blueberry> i got ops by netsexing the elite #C masters.
strip.defines PW|gcc -E -C <file> - processes any #defines, leaves comments in
sirc kcin|sirc is an IRC client for Unix programmed and programmable in perl -- www.eleves.ens.fr:8080/home/espel/sirc.html
KLF Dmi|Kopyright Liberation Front
sql-tute Teckla|SQL tutorial: http://www.geocities.com/ResearchTriangle/Node/9672/sqltut.html
fun undone|Obviously this is a new definition of the word "fun" that I was not previously familiar with.
youth undone|Enjoy the power and beauty of your youth.
lead CyrixBoy|We'll lead you the way but we're not going to carry your sorry ass there
tarbaby voidptr|tar cvf baby.tar /usr/straw /usr/sticks
SimOS venus|The complete machine simulator: http://simos.stanford.edu/
win32api Omnibus-|For a Win32 API tutorial, check out http://kodiak.bcgrizzly.com/~forger/winprog/tutorial/
Lisp_life venus|Today is the CAR of the CDR of your life.
genital-herpes platypus|"Genital Herpes isn't about outbreaks -- It's about suppressing them."
typo Perly|a mistake in printed matter resulting from mechanical failures of some kind
bong Perly|<dePorted> can't we all get a bong
hand dePorted|<dePorted> I imagine my right hand is jennifer lopez
slice alyshia|<orngetide> i don't care if it slices, dices and grills hamburgers
quotes Perly|www.xnet.com/~perly/cquotes.txt  If you have funny quotes email perly@xnet.com (the quotes can be from #C only..unless they're really funny)
joke30 undone|<Gearhead> A man walks into a friend and sees that his friend's car is total-loss and covered with leaves, grass, branches, dirt and blood. He asks his friend, "What's happened to your car?" "Well," the friend responses, "I ran into a lawyer." "OK," says the man, "that explains the blood... But what about the leaves, the grass, the branches and the dirt?" "Well, I had to chase him all through the park."
joke29 undone|Q: What do you call someone who only speaks one language?  A: American.
joke31 Triffix|A man comes to the doctor with a cucumber up his left nostril, a tomato up his right one and a watermelon in his ear. The doctor says, "You're not eating right".
satan dePorted|Linux: Because a pengiun makes a better mascot than satan.
engrish dePorted|<IronBallz> my engrish not vely vely good
springer Perly|If you're a transsexual sleeping with bisexual dogs, and are looking for a stable relationsship with a female prostitue who is pimped by "Bubba" and was sentenced to death for killing two other pimps, please call 1-800-96-JERRY and tell us about it.
engineer1 kcin|<Sauvin> This just in: to the optimist, the glass is half full, to the pessimist half empty, but to the engineer, the glass is twice as big as it needs to be.
engineer2 kcin|<Sauvin> An architect, an artist and an engineer discussed whether it's better to have a wife or a mistress. The architect enjoyed building an enduring relationship with his wife, the artist found inspiration in the mystery and passion of his mistress, but the engineer liked both together: each woman assuming he's seeing the other, the engineer is free to sneak into the plant and get some work done.
engineer3 kcin|One engineer asked the other "Where did you get that great bicycle?". The second engineer replied "Well, a beautiful woman rode up to me on it, took off all her clothes and said 'Take what you want'". The first engineer said "Wise choice; the clothes would not likely have fit."
RTFB kcin|RTFB stands for: Read The Fucking Book.
strtok_is_evil cout|Don't use strtok.  It's not re-entrant, and it's not thread-safe.  Use strtok_r or strsep instead, or write your own tokenizer.  See http://www.serpentine.com/~bos/threads-faq/#12-Why-are-reentrant-library-and-system-call-interfaces-good-
games dePorted|Independant game creators - http://www.night-flyer.com/games.htm
venus Perly|Venus likes Perly's dinkie. (see 'calc dinkie')
channel kcin|<DrgdHmstr> Y'all are some boring ass nerds, man
joke32 undone|<YaiSauvin> If MEN ruled the world:  Hallmark would make "Sorry, what was your name again?" cards.
drgdhmstr2 Perly|<_Vile> Drugged Hamster!
bones Perly|<blueberry> i'm not anorexic  <blueberry> i still have my bones.
promise Perly|<blueberry> this will be the last two lbs.  [Thu Jun 24 1999]
water Perly|<blueberry> i think i'll go snack on some water.
mapeditor dePorted|Utility for creating flexible maps 2D maps for tile based games - http://www.rbsite.freeserve.co.uk/robmpy.htm
perly_add Perly|Hard working C programmer looking for a female (preferably human). I am good looking (that's what my A.I says at least) and I enjoy competitive sports such as chess.  The female must know C, PERL, and *NIX. Serious offers send to perly@xnet.com. Thank you in advance.
rinetd OrngeTide|redirecting inetd. http://www.boutell.com/rinetd/
clear_screen kcin|\x1b[2J is the ansi code to clear the screen.
deported dePorted|\De*ported"\ To transport; to carry away; to exile; to send into banishment. ~~ http://members.xoom.com/edmonton1998/images/deported.jpg
opinion dePorted|"Everyone has a right to their opinion - even if it's wrong." --Anonymous
marinoland dePorted|Fairly good C tutorials - http://chris.marino.net/programming/tut/c/index.htm
wank dePorted|WANK (brit. y vulg.) v.i. 1 masturbarse, mene rsela. s.c. 2 masturbaci n, paja, (Am.) pu eta
sailors undone|No one here programs, this channel is about the ocean, we just abbreviate "sea" to 'c'.
nsa Tybstar|Interested in a career with the NSA? Call your mother and tell her. An informational packet will arrive a short time later.
bible1 cout|And thou shalt make loops... (Exodus 24:6)
bible2 cout|Fifty loops shalt thou make. (Exodus 24:7)
bible3 cout|But let your communication be Yea, yea; Nay, nay: for whatsoever is more than these cometh of evil. (Matthew 5:37)
bible4 cout|And rest the trees of the forest shall be few, that a child may write them. (Isaiah 10:19)
